เลขที่บิล,วันที่,เวลา,สาขา,สินค้า,หมวดสินค้า,จำนวน,ราคาต่อหน่วย,ยอดขาย,รหัสลูกค้า,สถานะ
B000001,26/06/2569,07:41,สาขาสยาม,ชาเขียวมัทฉะลาเต้,ชาและเครื่องดื่ม,1,75,75,M1098,สำเร็จ
B000002,26/06/2569,07:05,สาขาสยาม,ครัวซองต์เนยสด,เบเกอรี่,1,55,55,,สำเร็จ
B000003,26/06/2569,07:03,สาขาสยาม,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,M1759,สำเร็จ
B000004,26/06/2569,07:37,สาขาสยาม,แซนด์วิชแฮมชีส,อาหาร,1,85,85,,สำเร็จ
B000005,26/06/2569,07:29,สาขาสยาม,เอสเปรสโซ่,กาแฟ,1,50,50,,สำเร็จ
B000006,26/06/2569,07:56,สาขาสยาม,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,,สำเร็จ
B000006,26/06/2569,07:56,สาขาสยาม,บานอฟฟี่,เบเกอรี่,1,90,90,,สำเร็จ
B000007,26/06/2569,07:20,สาขาสยาม,โกโก้เย็น,ชาและเครื่องดื่ม,1,60,60,,สำเร็จ
B000008,26/06/2569,07:04,สาขาสยาม,บราวนี่ช็อกโกแลต,เบเกอรี่,1,65,65,,สำเร็จ
B000009,26/06/2569,08:29,สาขาสยาม,แซนด์วิชแฮมชีส,อาหาร,1,85,85,M0240,สำเร็จ
B000010,26/06/2569,08:10,สาขาสยาม,ชาไทยเย็น,ชาและเครื่องดื่ม,1,50,50,,สำเร็จ
B000011,26/06/2569,08:24,สาขาสยาม,อเมริกาโน่เย็น,กาแฟ,1,55,55,M0361,สำเร็จ
B000011,26/06/2569,08:24,สาขาสยาม,คาปูชิโน่ร้อน,กาแฟ,1,60,60,M0361,สำเร็จ
B000012,26/06/2569,08:32,สาขาสยาม,น้ำผึ้งมะนาวโซดา,ชาและเครื่องดื่ม,1,55,55,,สำเร็จ
B000013,26/06/2569,08:25,สาขาสยาม,ครัวซองต์เนยสด,เบเกอรี่,1,55,55,M1300,สำเร็จ
B999991,,10:00,สาขาสยาม,ลาเต้เย็น,กาแฟ,1,65,65,,สำเร็จ
